source_site,product_url,image_url,brand,variant_id,product_id,price_egp,original_price_egp,in_stock,is_best_seller,is_new_arrival,seller_name,category_l3,model,storage_gb,ram_gb,network,sim_config,color
btech,https://btech.com/en/p/2f919b56-1c54-4369-be56-d8b561dff183,b/2/8/9/b289950e67b08ec9f2424ea77fa47987b991a837_5461697e_887d_4d1d_bfbf_4f53f5e40ab6.jpg,Vivo,2f919b56-1c54-4369-be56-d8b561dff183,8884cb5c-f3ea-48d1-bcf9-cc1ca1434e6c,7099.0,7099.0,True,False,False,Mobiii Market,Smart Phones,Vivo Y05,64.0,4.0,4G,Dual-SIM,Black
btech,https://btech.com/en/p/07ccd93e-7a3c-4ebb-a844-100040716be9,4/a/1/c/4a1ceae0ffdc80146e754a2450c21f274e279a23_fd6f85c8df7d582af862f55621a3acfd77fccc12_imgi_76_1754564238_213_1754405991_805_realme_c71_dual_.jpg,Realme,07ccd93e-7a3c-4ebb-a844-100040716be9,0a85570c-c042-46e6-bd83-1c71b67adfb2,8388.0,8588.0,True,False,False,B.TECH,Smart Phones,Realme C71,256.0,4.0,4G,Dual-SIM,White Swan
btech,https://btech.com/en/p/1a31539e-4314-4455-a151-4fe8a8d0765a,4/d/5/4/4d54af0eb233f426da54cb6e82b96641b306e4eb_71AdvhH42vL._AC_SL1500_.jpeg,Samsung,1a31539e-4314-4455-a151-4fe8a8d0765a,d8396342-0ea6-4ddc-a7b2-c4eecba327ed,33500.0,33500.0,True,False,False,VOOC,Smart Phones,Samsung Galaxy A57,512.0,12.0,5G,Dual-SIM,Violet
btech,https://btech.com/en/p/samsung-galaxy-a16-128gb-4gb-4g-lte-dual-sim-grey-local,a/b/4/f/ab4f5b6a18f7bd461e6dd167e4157772652f757b_39ffe0676d6222540d7be4198f0621d12ba6002a394b886a7e247fb355c7573f.jpeg,Samsung,ad3cba1f-84cd-47e8-9bef-47838cc2e21a,94243c97-2360-48d6-848d-14f52d1f904c,8499.0,8499.0,True,False,False,Mobile plus 1,Smart Phones,Samsung Galaxy A16,128.0,4.0,4G LTE,Dual-SIM,Grey
btech,https://btech.com/en/p/41dcdd68-61e6-46f8-9b52-79d00ad322e7,3/1/c/7/31c7a2c9edec8c6f840df122a5893c7f95f1fb85_xiaomi_redmi_15_gray_1.jpg,Xiaomi,41dcdd68-61e6-46f8-9b52-79d00ad322e7,9b0046fe-22c4-4d0c-9caf-da39c5b2d8e4,11177.0,11177.0,True,False,False,drmobile,Smart Phones,Xiaomi Redmi 15,256.0,8.0,4G,Dual-SIM,Titan Gray
btech,https://btech.com/en/p/4abf37ee-914f-4497-85ea-f66bb978f438,6/d/4/1/6d4177274d14c78b88aec2592d9572a5494dfe41_f3ccb222_d2ba_4634_a5f6_91cd0b50675c.jpg,Honor,4abf37ee-914f-4497-85ea-f66bb978f438,c7b6a8cc-8fb8-451a-9cef-b7bd286553a7,7792.0,7792.0,True,False,False,yalla-tager,Smart Phones,Honor X5C,64.0,4.0,,,Tidal Blue
btech,https://btech.com/en/p/2e5821ca-7166-4165-9798-03bd678d600e,7/2/6/7/7267b1b59fb9ffab37be64d455fe54261ec588bc_imgi_20_S26_ultra_white_4_rfas_ff.jpg,Samsung,2e5821ca-7166-4165-9798-03bd678d600e,30646fc8-23ba-46f9-b762-b09ea2af3a5a,72400.0,72400.0,True,False,False,B.TECH,Smart Phones,Samsung Galaxy S26 Ultra,256.0,12.0,5G,Dual-SIM,White
btech,https://btech.com/en/p/samsung-galaxy-a17-128gb-4gb-ram-4g-dual-sim-black,0/b/2/0/0b204a5bec1d64b56be70e5271ec3a6fc468c2a1_imgi_2_4dabf6d9f656c40db2f76b1b42b683d95776831528fb89445d42a1443f9782e9.jpg,Samsung,6d8e15f1-3a05-4eeb-96cd-e7d1dcd49321,112e49f8-cdc2-418b-bacb-c59d2b370ae3,9199.0,9999.0,True,False,False,B.TECH,Smart Phones,Samsung Galaxy A17,128.0,4.0,4G LTE,Dual-SIM,Black
btech,https://btech.com/en/p/1cd2caa0-8b88-42c2-bf5b-a671c35ef181,4/8/7/1/4871d7c4bbfd327a785ffb72416818c9737521f5_bd317b22_7aa4_499a_a183_18add624d6ab.jpg,Vivo,1cd2caa0-8b88-42c2-bf5b-a671c35ef181,8884cb5c-f3ea-48d1-bcf9-cc1ca1434e6c,8299.0,8299.0,True,False,False,ISM Mobile Shop,Smart Phones,Vivo Y05,128.0,4.0,4G,Dual-SIM,Light Platinum
btech,https://btech.com/en/p/4b4ebea9-0a35-424f-9206-47ed64194439,e/b/3/c/eb3c6ae8b18c8bab4372b43347df8be142691383_Vivo_Y31d_4G.jpg,Vivo,4b4ebea9-0a35-424f-9206-47ed64194439,d2b645f3-71c4-4a36-9127-c403cc442ae0,14430.0,14430.0,True,False,False,Aymen elsoudy,Smart Phones,Vivo Y31d,256.0,8.0,4G,Dual-SIM,Feather Gold
btech,https://btech.com/en/p/7a75b00c-eea3-45e9-8d59-c3b5234b29f0,a/3/4/0/a3401c13ad991acc0e95d52cdc2aa10b178b34ad_poco_c85_purple_1_removebg_preview.png,Xiaomi,7a75b00c-eea3-45e9-8d59-c3b5234b29f0,b25f7a0b-8e37-4240-9e2e-c1c711a7f0a6,8555.0,8555.0,True,False,False,drmobile,Smart Phones,Xiaomi POCO C85,256.0,8.0,4G,Dual-SIM,Purple
